[Sat Jan 15 22:05:06.967862 2022] [mpm_winnt:notice] [pid 10124:tid 772] AH00455: Apache/2.4.6 (Win32) PHP/5.4.17 configured -- resuming normal operations
[Sat Jan 15 22:05:06.967862 2022] [mpm_winnt:notice] [pid 10124:tid 772] AH00456: Apache Lounge VC10 Server built: Jul 16 2013 11:15:41
[Sat Jan 15 22:05:06.967862 2022] [core:notice] [pid 10124:tid 772] AH00094: Command line: 'C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver/apache2/bin/httpd_usbwv8.exe -d C:/Users/Jessi/Git/PlantoterapiaSite/USBWebserver/apache2'
[Sat Jan 15 22:05:06.988034 2022] [mpm_winnt:notice] [pid 10124:tid 772] AH00418: Parent: Created child process 27488
[Sat Jan 15 22:05:09.126005 2022] [mpm_winnt:notice] [pid 27488:tid 832] AH00354: Child: Starting 64 worker threads.
[Sat Jan 15 22:05:49.097501 2022] [:error] [pid 27488:tid 1320] [client ::1:49779] PHP Notice:  Undefined index: id in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\index.php on line 34, referer: http://localhost:8080/index.php
[Sat Jan 15 22:07:29.368252 2022] [:error] [pid 27488:tid 1304] [client ::1:49795] PHP Notice:  Undefined index: id in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\index.php on line 34, referer: http://localhost:8080/index.php
[Sun Jan 16 02:13:21.094856 2022] [:error] [pid 27488:tid 1320] [client ::1:50591] PHP Notice:  Undefined index: login in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\cadastro.php on line 11, referer: http://localhost:8080/cadastro.php?email=&senha=&senha_conf=&btn-criar=
[Sun Jan 16 02:13:21.500756 2022] [:error] [pid 27488:tid 1320] [client ::1:50591] PHP Notice:  Undefined index: login in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\cadastro.php on line 11, referer: http://localhost:8080/cadastro.php
[Sun Jan 16 02:13:55.836949 2022] [:error] [pid 27488:tid 1320] [client ::1:50598] PHP Notice:  Undefined index: email in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\cadastro.php on line 11, referer: http://localhost:8080/cadastro.php
[Sun Jan 16 02:14:31.946689 2022] [:error] [pid 27488:tid 1320] [client ::1:50608] PHP Notice:  Undefined variable: resultado in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\cadastro.php on line 36, referer: http://localhost:8080/cadastro.php
[Sun Jan 16 02:14:31.946689 2022] [:error] [pid 27488:tid 1320] [client ::1:50608] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, null given in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\cadastro.php on line 36, referer: http://localhost:8080/cadastro.php
[Sun Jan 16 02:27:10.006534 2022] [:error] [pid 27488:tid 1320] [client ::1:50688] PHP Parse error:  syntax error, unexpected 'echo' (T_ECHO) in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\cadastro.php on line 29
[Sun Jan 16 02:52:53.731629 2022] [:error] [pid 27488:tid 1312] [client ::1:62917] PHP Parse error:  syntax error, unexpected end of file in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\cadastro.php on line 114, referer: http://localhost:8080/index.php
[Sun Jan 16 02:53:23.213447 2022] [:error] [pid 27488:tid 1312] [client ::1:62922] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\cadastro.php on line 36, referer: http://localhost:8080/cadastro.php
[Sun Jan 16 02:56:43.415044 2022] [:error] [pid 27488:tid 1320] [client ::1:62971] PHP Notice:  Undefined index: id in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\index.php on line 34, referer: http://localhost:8080/index.php
[Sun Jan 16 03:13:50.597497 2022] [:error] [pid 27488:tid 1300] [client ::1:63303] PHP Notice:  Undefined index: id in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\index.php on line 34, referer: http://localhost:8080/index.php
[Sun Jan 16 03:35:42.422979 2022] [:error] [pid 27488:tid 1300] [client ::1:56414] PHP Catchable fatal error:  Object of class mysqli_result could not be converted to string in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\index.php on line 27, referer: http://localhost:8080/index.php
[Mon Jan 17 00:08:29.638086 2022] [:error] [pid 27488:tid 1308] [client ::1:51504] PHP Parse error:  syntax error, unexpected '$nome' (T_VARIABLE) in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\adicionarplanta.php on line 12
[Mon Jan 17 00:09:52.088333 2022] [:error] [pid 27488:tid 1308] [client ::1:51552] PHP Parse error:  syntax error, unexpected end of file in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\adicionarplanta.php on line 52
[Mon Jan 17 00:21:39.860201 2022] [:error] [pid 27488:tid 1308] [client ::1:51952] PHP Notice:  Undefined variable: planta in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\adicionarplanta.php on line 25, referer: http://localhost:8080/adicionarplanta.php
[Mon Jan 17 00:22:00.859658 2022] [:error] [pid 27488:tid 1300] [client ::1:51998] PHP Notice:  Undefined variable: planta in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\adicionarplanta.php on line 25, referer: http://localhost:8080/adicionarplanta.php
[Mon Jan 17 00:23:14.034523 2022] [:error] [pid 27488:tid 1300] [client ::1:52046] PHP Notice:  Undefined variable: planta in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\adicionarplanta.php on line 26, referer: http://localhost:8080/adicionarplanta.php
[Mon Jan 17 00:23:40.474380 2022] [:error] [pid 27488:tid 1300] [client ::1:52051] PHP Notice:  Undefined variable: numero_plantas in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\adicionarplanta.php on line 61, referer: http://localhost:8080/adicionarplanta.php
[Mon Jan 17 00:26:49.503167 2022] [:error] [pid 27488:tid 1300] [client ::1:52162] PHP Notice:  Undefined variable: planta in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\adicionarplanta.php on line 26, referer: http://localhost:8080/adicionarplanta.php
[Mon Jan 17 00:27:58.873244 2022] [:error] [pid 27488:tid 1300] [client ::1:52220] PHP Notice:  Undefined variable: planta in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\adicionarplanta.php on line 25, referer: http://localhost:8080/adicionarplanta.php
[Mon Jan 17 00:28:22.094807 2022] [:error] [pid 27488:tid 1300] [client ::1:52229] PHP Notice:  Undefined variable: planta in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\adicionarplanta.php on line 26, referer: http://localhost:8080/adicionarplanta.php
[Mon Jan 17 00:28:46.586664 2022] [:error] [pid 27488:tid 1300] [client ::1:51766] PHP Notice:  Undefined variable: planta in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\adicionarplanta.php on line 26, referer: http://localhost:8080/adicionarplanta.php
[Mon Jan 17 00:28:57.462976 2022] [:error] [pid 27488:tid 1300] [client ::1:51799] PHP Notice:  Undefined variable: planta in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\adicionarplanta.php on line 26, referer: http://localhost:8080/adicionarplanta.php
[Mon Jan 17 00:29:36.066955 2022] [:error] [pid 27488:tid 1300] [client ::1:51807] PHP Notice:  Undefined variable: planta in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\adicionarplanta.php on line 26, referer: http://localhost:8080/adicionarplanta.php
[Mon Jan 17 00:31:00.722817 2022] [:error] [pid 27488:tid 1300] [client ::1:51875] PHP Notice:  Undefined variable: planta in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\adicionarplanta.php on line 26, referer: http://localhost:8080/adicionarplanta.php
[Mon Jan 17 00:45:33.147620 2022] [:error] [pid 27488:tid 1316] [client ::1:52558] PHP Parse error:  syntax error, unexpected 'planta' (T_STRING), expecting ',' or ';' in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\home.php on line 8
[Mon Jan 17 00:45:40.897835 2022] [:error] [pid 27488:tid 1316] [client ::1:52560] PHP Parse error:  syntax error, unexpected 'planta' (T_STRING), expecting ',' or ';' in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\home.php on line 8
